AnswerID,QuestionID,RotuloPT,RotuloEN,Ordem,Origem
Q019-A242,Q019,"Sim, já utilizo regularmente ferramentas de IA no meu dia a dia",,242,curada
Q019-A243,Q019,"Não, ainda vejo pouca aplicação prática para o meu trabalho",,243,curada
Q019-A244,Q019,"Ainda não utilizo, mas pretendo aprender mais sobre o assunto",,244,curada
Q019-A246,Q019,Qual é a alocação dos seus clientes em ações de empresas endividadas?,,246,curada
Q019-A247,Q019,<5%,,247,curada
Q019-A248,Q019,5-10%,,248,curada
Q019-A249,Q019,11-20%,,249,curada
Q019-A250,Q019,21-30%,,250,curada
Q019-A251,Q019,31-50%,,251,curada
Q019-A252,Q019,51-75%,,252,curada
Q019-A253,Q019,>75%,,253,curada
Q019-A254,Q019,A partir de qual nível da taxa Selic seus clientes aumentariam alocação em renda variável?,,254,curada
Q019-A261,Q019,8%,,261,curada
Q019-A262,Q019,<8%,,262,curada
Q019-A263,Q019,"Os eventos recentes e volatilidade no crédito privado, alteraram as perspectivas de alocação em renda variavel e outras classes de risco, com seus clientes?",,263,curada
Q019-A264,Q019,"Nao, seguem inalteradas",,264,curada
Q019-A265,Q019,"Sim, aumentaram o apetite para outras classes de ativos",,265,curada
Q019-A266,Q019,"Sim, diminuíram o apetite para outras classes de ativos",,266,curada
Q019-A267,Q019,Os clientes estão alterando suas perspectivas de alocação em meio aos recentes anúncios de dividendos em antecipação à lei da reforma do Imposto de Renda?,,267,curada
Q019-A268,Q019,"Ainda não, mas pode influenciar mais adiante",,268,curada
Q019-A269,Q019,"Sim, houve algum interesse, mas sem mudanças relevantes na alocação",,269,curada
Q019-A270,Q019,"Não, não houve e não deve haver impacto nas decisões de alocação",,270,curada
Q019-A271,Q019,"Sim, os clientes aumentaram a alocação em ações de companhias que já anteciparam ou devem antecipar dividendos",,271,curada
Q019-A272,Q019,Quais características na renda variável que seus clientes estão mais interessados em investir neste momento?2,,272,curada
Q019-A276,Q019,Ações com sólida geração de caixa e TIR elevada,,276,curada
Q019-A279,Q019,O cenário eleitoral de 2026 já está influenciando no posicionamento de seus clientes?,,279,curada
Q019-A280,Q019,"Sim, há algum movimento, mas ainda sem mudanças relevantes no posicionamento",,280,curada
Q019-A281,Q019,"Sim, os clientes já estão se posicionando de forma relevante pensando nas eleições de 2026",,281,curada
Q019-A282,Q019,"Ainda não, mas deve ganhar força nos próximos meses",,282,curada
Q019-A283,Q019,O cenário eleitoral não deve impactar o posicionamento dos meus clientes,,283,curada
Q019-A284,Q019,"Como você avalia a evolução do interesse dos clientes por fundos passivos (fundos de investimento que acompanham um índice de mercado, replicando sua composição) nos últimos meses/anos?",,284,curada
Q019-A285,Q019,Diminuiu,,285,curada
Q019-A286,Q019,Permaneceu estável,,286,curada
Q019-A287,Q019,Cresceu de forma consistente e relevante,,287,curada
Q019-A288,Q019,Não possuo percepção clara,,288,curada
Q019-A289,Q019,"Cresceu, mas em pequena intensidade",,289,curada
Q019-A290,Q019,Como você avalia a evolução do interesse dos clientes por fundos ativos nos últimos meses/anos?,,290,curada
Q019-A296,Q019,Em qual nível você acha que a taxa Selic estará no final de 2026?,,296,curada
Q019-A297,Q019,Entre 13% e 14%,,297,curada
Q019-A298,Q019,Entre 11% e 12%,,298,curada
Q019-A299,Q019,Entre 12% e 13%,,299,curada
Q019-A300,Q019,Entre 14% e 15%,,300,curada
Q019-A301,Q019,Acima de 15%,,301,curada
Q019-A302,Q019,Como você avalia o desempenho das carteiras de seus clientes durante a recente alta da bolsa brasileira?,,302,curada
Q019-A303,Q019,"Os clientes tiveram desempenho acima do Ibovespa, aproveitando bem a alta",,303,curada
Q019-A304,Q019,"Os clientes capturaram a alta, com performance em linha com o Ibovespa",,304,curada
Q019-A305,Q019,Os clientes tinham baixa exposição à renda variável brasileira e aproveitaram pouco a alta,,305,curada
Q019-A306,Q019,"Os clientes estavam expostos à renda variável, mas em ativos que apresentaram desempenho mais fraco, abaixo do Ibovespa",,306,curada
Q019-A308,Q019,"Nessa mesma linha, com a forte alta recente da Bolsa, como você avalia a atratividade das ações brasileiras no momento?",,308,curada
Q019-A309,Q019,"Acredito que ficaram um pouco mais caras, mas ainda vejo valor",,309,curada
Q019-A310,Q019,"Considero que ficaram caras após a alta, com pouca atratividade",,310,curada
Q019-A311,Q019,Acredito que continuam muito atrativas,,311,curada
Q019-A312,Q019,Não tenho percepção clara,,312,curada
Q019-A313,Q019,Como a recente escalada da guerra no Oriente Médio e o aumento do preço do petróleo estão impactando as decisões de alocação de seus clientes?,,313,curada
Q019-A314,Q019,Redução de risco nas carteiras (ex: redução da exposição a ações),,314,curada
Q019-A315,Q019,"Aumento de alocação em ativos que oferecem proteção nesse cenário (ex: dólar, Tesouro Selic)",,315,curada
Q019-A316,Q019,Aumento do interesse por ações de petroleiras ou por exposição ao petróleo e commodities,,316,curada
Q019-A317,Q019,Ainda não houve impacto relevante nas decisões dos clientes,,317,curada
Q019-A318,Q019,"Como você descreveria a postura atual de seus clientes em relação ao início do ciclo de corte de juros no Brasil, que deve se iniciar em março?",,318,curada
Q019-A319,Q019,Estão aguardando a confirmação do ciclo e a queda da Selic e assim alterar a alocação,,319,curada
Q019-A320,Q019,Já se anteciparam ao ciclo e aumentaram exposição a risco,,320,curada
Q019-A321,Q019,Estão aumentando exposição a risco de forma gradual,,321,curada
Q019-A322,Q019,"Estão mantendo postura neutra por enquanto, sem indicar mudanças relevantes",,322,curada
Q019-A324,Q019,Abaixo de 150 mil pontos,150000,324,curada
Q019-A325,Q019,Entre 150 mil e 170 mil pontos,160000,325,curada
Q019-A326,Q019,Entre 170 mil e 190 mil pontos,180000,326,curada
Q001-A06,Q001,SudesteSul,,6,auto
Q001-A07,Q001,SulSudeste,,7,auto
Q001-A08,Q001,Opção 6,,8,auto
Q001-A09,Q001,NordesteSudeste,,9,auto
Q001-A10,Q001,SudesteNordeste,,10,auto
Q001-A11,Q001,SulNordeste,,11,auto
Q001-A12,Q001,NordesteNorte,,12,auto
Q001-A13,Q001,SulNorte,,13,auto
Q001-A14,Q001,Centro OesteSudeste,,14,auto
Q001-A15,Q001,NorteSudeste,,15,auto
Q004-A11,Q004,Ouro,,11,auto
Q004-A12,Q004,Fundo de ações,,12,auto
Q004-A13,Q004,Previdência,,13,auto
Q004-A14,Q004,Renda Fixa,,14,auto
Q004-A15,Q004,Opções,,15,auto
Q004-A16,Q004,Alternativos,,16,auto
Q004-A17,Q004,crédito privado,,17,auto
Q004-A18,Q004,Renda +,,18,auto
Q004-A19,Q004,DERIVATIVOS AGRICOLAS,,19,auto
Q004-A20,Q004,Fundos Alternativos,,20,auto
Q004-A21,Q004,Operações estruturadas,,21,auto
Q004-A22,Q004,Estruturadas,,22,auto
Q004-A23,Q004,PRODUTOS ESTRUTURADOS,,23,auto
Q004-A24,Q004,Cetipados,,24,auto
Q004-A25,Q004,Derivativos,,25,auto
Q004-A26,Q004,ETF,,26,auto
Q004-A27,Q004,Compromissadas,,27,auto
Q004-A28,Q004,Carteiras automatizadas,,28,auto
Q004-A29,Q004,previdência privada,,29,auto
Q004-A30,Q004,venda coberta,,30,auto
Q004-A31,Q004,"CDB, LCI, LCA",,31,auto
Q004-A32,Q004,Opcoes,,32,auto
Q004-A33,Q004,Fundos Cetipados,,33,auto
Q004-A34,Q004,Estruturados,,34,auto
Q004-A35,Q004,ETF RF,,35,auto
Q004-A36,Q004,COE,,36,auto
Q004-A37,Q004,Fundos de Inflação / Pré,,37,auto
Q004-A38,Q004,imoveis,,38,auto
Q004-A39,Q004,AÇÕES direto,,39,auto
Q004-A40,Q004,"Operações Estruturadas, Trade Ideas, Câmbio",,40,auto
Q004-A41,Q004,COE Bond Repack Pré,,41,auto
Q004-A42,Q004,Fundos ESG e investimento com propósito,,42,auto
Q004-A43,Q004,Câmbio,,43,auto
Q004-A44,Q004,cdb,,44,auto
Q004-A45,Q004,Produtos de crédito,,45,auto
Q004-A46,Q004,Derivativos operações estruturadas,,46,auto
Q004-A47,Q004,Pirâmides,,47,auto
Q004-A48,Q004,"CDB, LCI, LCA CRI, CRA",,48,auto
Q004-A49,Q004,Titulos de RF,,49,auto
Q004-A50,Q004,treasuries,,50,auto
Q004-A51,Q004,Opções lançamento coberto e pozinho. Operação estruturada não gostam.,,51,auto
Q004-A52,Q004,LCI e LCA,,52,auto
Q004-A53,Q004,"Crédito Privado , LCA CDB",,53,auto
Q004-A54,Q004,Emissões bancárias e privadas,,54,auto
Q004-A55,Q004,Títulos de renda fixa,,55,auto
Q004-A56,Q004,Carteira recomendada,,56,auto
Q004-A57,Q004,"Lci/Lca, Cri/Cra",,57,auto
Q004-A58,Q004,Conta internacional,,58,auto
Q004-A59,Q004,Conta internacional e Coe RF Pre,,59,auto
Q004-A60,Q004,venda de opções,,60,auto
Q004-A61,Q004,Renda fixa internacional,,61,auto
Q004-A62,Q004,RF,,62,auto
Q004-A63,Q004,Renda Fixa Pré,,63,auto
Q004-A64,Q004,renda fixa bancarios - \fgc,,64,auto
Q004-A65,Q004,Precatorio,,65,auto
Q004-A66,Q004,carteiras de ações e operações estruturadas,,66,auto
Q004-A67,Q004,COE alavancado em bolsa americana,,67,auto
Q004-A68,Q004,Fundo Cetipado,,68,auto
Q004-A69,Q004,Papeis de RF isentos,,69,auto
Q004-A70,Q004,"Ofertas Públicas (CRI, CRA)",,70,auto
Q004-A71,Q004,estratégias de renda recorrente com opções,,71,auto
Q004-A72,Q004,cambio,,72,auto
Q004-A73,Q004,Debentures incentivadas,,73,auto
Q004-A74,Q004,FI-Infra e FIP-IE,,74,auto
Q004-A75,Q004,Ativos Ipca,,75,auto
Q004-A76,Q004,LCA e LCI,,76,auto
Q004-A77,Q004,Carteira Automatizada,,77,auto
Q004-A78,Q004,Fidc fiagro,,78,auto
Q004-A79,Q004,Private equity,,79,auto
Q004-A80,Q004,Operações estruturadas em ações com proteção 100% ex: POP,,80,auto
Q004-A81,Q004,Credito Privado,,81,auto
Q004-A82,Q004,automatizada,,82,auto
Q004-A83,Q004,Credito nprivado,,83,auto
Q004-A84,Q004,Fixed Income,,84,auto
Q004-A85,Q004,Conta nos EUA,,85,auto
Q004-A86,Q004,Fundos Listados,,86,auto
Q004-A87,Q004,RENDA FIXA BANCÁRIA COM FGC,,87,auto
Q004-A88,Q004,Muito variado.,,88,auto
Q004-A89,Q004,Bond Repack,,89,auto
Q004-A90,Q004,isentos,,90,auto
Q004-A91,Q004,Ativos indexados ao CDI,,91,auto
Q004-A92,Q004,Bonds repacks,,92,auto
Q004-A93,Q004,CRA CRI DEB E BOND,,93,auto
Q004-A94,Q004,Emissões Bancárias,,94,auto
Q004-A95,Q004,Crédito Privado isento de IR,,95,auto
Q004-A96,Q004,"RF CP Estruturados, FIDCs",,96,auto
Q004-A97,Q004,previdencia,,97,auto
Q004-A98,Q004,"FIAGRO, FUNDOS DE INFRA.",,98,auto
Q004-A99,Q004,Ativos de renda fixa e não fundos,,99,auto
Q004-A100,Q004,Renda Fixa.,,100,auto
Q004-A101,Q004,FI-Infra,,101,auto
Q004-A102,Q004,RENDA FIXA CDB/CRA/CRI/DEB,,102,auto
Q004-A103,Q004,carteiras de ações,,103,auto
Q004-A104,Q004,BOLSA AMERICANA E DOLAR,,104,auto
Q004-A105,Q004,Precatórios,,105,auto
Q004-A106,Q004,Portfólio Renda+,,106,auto
Q004-A107,Q004,"metais como iridio, rodio niobio",,107,auto
Q004-A108,Q004,"Renda Fixa Bancária, Pública e Privada",,108,auto
Q004-A109,Q004,Ações Internacionais,,109,auto
Q004-A110,Q004,Estruturada como proteção,,110,auto
Q004-A111,Q004,Imóvel,,111,auto
Q004-A112,Q004,termo,,112,auto
Q004-A113,Q004,Fundos de RF de infra e fundo de FIDC.,,113,auto
Q004-A114,Q004,Renda Fixa - Isento IR E IOF,,114,auto
Q004-A115,Q004,Ativos isentos,,115,auto
Q004-A116,Q004,Derivativos / NDF,,116,auto
Q004-A117,Q004,Renda Fixa Pós e IPCA+,,117,auto
Q004-A118,Q004,Ativos Bancários - RF,,118,auto
Q004-A119,Q004,Mercado de Opções,,119,auto
Q004-A120,Q004,"Investimentos ""isentos""",,120,auto
Q004-A121,Q004,renda fixa de juros mensal,,121,auto
Q004-A122,Q004,Algoritmos / Robôs,,122,auto
Q004-A123,Q004,papeis de RF,,123,auto
Q004-A124,Q004,RF Brasil,,124,auto
Q004-A125,Q004,operação com IA,,125,auto
Q004-A126,Q004,robo,,126,auto
Q004-A127,Q004,Ntnb,,127,auto
Q004-A128,Q004,Ter custódia de bitcoin dentro da XP,,128,auto
Q004-A129,Q004,robo trader,,129,auto
Q004-A130,Q004,Renda+,,130,auto
Q004-A131,Q004,DOLAR,,131,auto
Q004-A132,Q004,BDRs,,132,auto
Q004-A133,Q004,Portfólios renda,,133,auto
Q004-A134,Q004,ETFs Brasil,,134,auto
Q004-A135,Q004,em uma carteira estruturada que os prepare para qq cenario,,135,auto
Q004-A136,Q004,ETF com renda mensal,,136,auto
Q004-A137,Q004,Fundos Incentivados,,137,auto
Q004-A138,Q004,Cetipados Pré e IPCA+,,138,auto
Q004-A139,Q004,Renda fixa até 1 ano,,139,auto
Q004-A140,Q004,Previdência Privada.,,140,auto
Q004-A141,Q004,"Criptoativos puros, sem ser por fundos ou COE",,141,auto
Q004-A142,Q004,ETFs,,142,auto
Q004-A143,Q004,short strangle,,143,auto
Q004-A144,Q004,Bitcoin (não cripto),,144,auto
Q004-A145,Q004,prata,,145,auto
Q004-A146,Q004,PR+,,146,auto
Q004-A147,Q004,Fundos Renda +,,147,auto
Q004-A148,Q004,Emissões Bancarias,,148,auto
Q006-A08,Q006,Bonds e crédito,,8,auto
Q006-A09,Q006,Treasury,,9,auto
Q006-A10,Q006,REITs,,10,auto
Q006-A11,Q006,Treasuries,,11,auto
Q006-A12,Q006,BDRs,,12,auto
Q006-A13,Q006,Renda fixa,,13,auto
Q006-A14,Q006,ouro,,14,auto
Q006-A15,Q006,Treasurys,,15,auto
Q006-A16,Q006,REIT,,16,auto
Q006-A17,Q006,Tresuries,,17,auto
Q006-A18,Q006,derivativos agricolas,,18,auto
Q006-A19,Q006,criptomoedas,,19,auto
Q006-A20,Q006,Treasures,,20,auto
Q006-A21,Q006,ucits,,21,auto
Q006-A22,Q006,Derivativos,,22,auto
Q006-A23,Q006,coe,,23,auto
Q006-A24,Q006,cripto,,24,auto
Q006-A25,Q006,Treasure,,25,auto
Q006-A26,Q006,Tesouro,,26,auto
Q006-A27,Q006,CD,,27,auto
Q006-A28,Q006,BDR,,28,auto
Q006-A29,Q006,CDs,,29,auto
Q006-A30,Q006,POR ENQUANTO NENHUM PRONUNCIOU,,30,auto
Q006-A31,Q006,credito dolarizado,,31,auto
Q006-A32,Q006,COE Bond Repack Pré,,32,auto
Q006-A33,Q006,ADRs e Reits,,33,auto
Q006-A34,Q006,ainda não tenho cliente nesta modalidade,,34,auto
Q006-A35,Q006,Imoveis,,35,auto
Q006-A36,Q006,Falta de conhecimento,,36,auto
Q006-A37,Q006,iniciando a carteira agora,,37,auto
Q006-A38,Q006,conta global,,38,auto
Q006-A39,Q006,Segurança títulos americanos,,39,auto
Q006-A40,Q006,Nenhuma,,40,auto
Q006-A41,Q006,T-bills,,41,auto
Q006-A42,Q006,não tenho informação,,42,auto
Q006-A43,Q006,sem aplicações internacionais,,43,auto
Q006-A44,Q006,COEs,,44,auto
Q006-A45,Q006,cartao internacional em várias moedas,,45,auto
Q006-A46,Q006,Notas Estruturadas,,46,auto
Q006-A47,Q006,ETFs irlandeses,,47,auto
Q006-A48,Q006,Títulos públicos Americanos,,48,auto
Q006-A49,Q006,Não operAm,,49,auto
Q006-A50,Q006,T-Notes,,50,auto
Q006-A51,Q006,Bond Repack,,51,auto
Q006-A52,Q006,Alguns planejando,,52,auto
Q006-A53,Q006,Opções,,53,auto
Q006-A54,Q006,Estruturados,,54,auto
Q006-A55,Q006,Trend Bolsa Americana,,55,auto
Q006-A56,Q006,Treasorys,,56,auto
Q006-A57,Q006,tesouro americano,,57,auto
Q006-A58,Q006,Imóveis,,58,auto
Q006-A59,Q006,TNOTES,,59,auto
Q006-A60,Q006,Renda fixa americana,,60,auto
Q006-A61,Q006,COE Bolsa Americana,,61,auto
Q006-A62,Q006,criptoativos em corretoras externas,,62,auto
Q006-A63,Q006,ETFs que replicam e COE da Bolsa Americana,,63,auto
Q006-A64,Q006,"Não sabem ao certo o que querem, só querem sair de Brasil.",,64,auto
Q006-A65,Q006,ainda não investem,,65,auto
Q006-A66,Q006,certificados de ouro,,66,auto
Q006-A67,Q006,Segurança em tesouro,,67,auto
Q006-A68,Q006,Bitcoin (criptomoedas),,68,auto
Q006-A69,Q006,fundos,,69,auto
Q006-A70,Q006,não possuem,,70,auto
Q006-A71,Q006,Dolar,,71,auto
Q006-A72,Q006,nao imteressa,,72,auto
Q006-A73,Q006,real estate,,73,auto
Q006-A74,Q006,nenhum,,74,auto
Q006-A75,Q006,Sem Cliente no Internacional,,75,auto
Q008-A30,Q008,Eleições,,30,auto
Q008-A31,Q008,Lula,,31,auto
Q008-A32,Q008,Todas acima,,32,auto
Q008-A33,Q008,Eleições americanas,,33,auto
Q008-A34,Q008,PT,,34,auto
Q008-A35,Q008,Guerras,,35,auto
Q008-A36,Q008,Eleições Brasil,,36,auto
Q008-A37,Q008,riscos fiscais e instabilidade política,,37,auto
Q008-A38,Q008,Inflação Global,,38,auto
Q008-A39,Q008,POLITICA ESQUERDISTA,,39,auto
Q008-A40,Q008,"Direcionamento da política, indo contra o básico das teorias  econômicas, amento de gastos, influencia nas estatais, perda de controle fiscal, China mais fracaatais,",,40,auto
Q008-A41,Q008,Varios riscos acima e não so um,,41,auto
Q008-A42,Q008,"Uma combinação de deflação na China, aumento das taxas de juros nas curvas de 10y e 30y, instabilidade econômica na Europa, instabilidade politica e não conclusão das reformas econômicas/fiscais no Brasil.",,42,auto
Q008-A43,Q008,Contas Publicas,,43,auto
Q008-A44,Q008,Todos os riscos alistados,,44,auto
Q008-A45,Q008,Juros alto EUA e governo atual com gastos e tributações no Brasil.,,45,auto
Q008-A46,Q008,Um bom mix de fatores internacionais e nacionais,,46,auto
Q008-A47,Q008,Juro futuro alto nos EUA,,47,auto
Q008-A48,Q008,Elevação das taxas de juros nos EUA,,48,auto
Q008-A49,Q008,Juros mais altos nos EUA,,49,auto
Q008-A50,Q008,Lula.,,50,auto
Q008-A51,Q008,Todas as anteriores,,51,auto
Q008-A52,Q008,Nossa bolsa sempre foi especulativa.,,52,auto
Q008-A53,Q008,Juros altos nos Estados Unidos,,53,auto
Q008-A54,Q008,Lula e sua quadrilha!,,54,auto
Q008-A55,Q008,"Tudo que o atual governo faz. Que muito ruim, poderia falar de reforma adm e não de aumento de tributos....enfim.",,55,auto
Q008-A56,Q008,Risco fiscal somado ao juros mais altos no Brasil e Instabilidade política,,56,auto
Q008-A57,Q008,Política monetária em desenvolvidos E fiscal e juros br,,57,auto
Q008-A58,Q008,"Governo, pro baixa capacidade técnica e má gestão",,58,auto
Q008-A59,Q008,Juros ainda altos nos EUA,,59,auto
Q008-A60,Q008,lucros decepcionantes,,60,auto
Q008-A61,Q008,A CORRPUÇÃO DESSE GOVERNO LIXO !,,61,auto
Q008-A62,Q008,Movimentos de outros Bancos Centrais para ano fiscal 2024,,62,auto
Q008-A63,Q008,Insegurança jurídica e corrupção crescente no governo PT.,,63,auto
Q008-A64,Q008,Tese do softlanding não perdurar,,64,auto
Q008-A65,Q008,Intervenção militar,,65,auto
Q008-A66,Q008,riscos fiscais Brasil somados a geopolítica,,66,auto
Q008-A67,Q008,"Riscos fiscais, interferência em estatais, inflação maquiada (combustivel com defasagem de 20% - petrobrás não está repassando a realidade), juros nos EUA",,67,auto
Q008-A68,Q008,"alem de risco fiscal,risco geopolitico,interferencia de empresas estatais e ainda a guerra .",,68,auto
Q008-A69,Q008,Demora na queda dos juros americanos,,69,auto
Q008-A70,Q008,GOVERNO DESASTROSO,,70,auto
Q008-A71,Q008,Risco Fiscal,,71,auto
Q008-A72,Q008,Absurdos do governos federal,,72,auto
Q008-A73,Q008,Vieses politicos de alguns membros do Copom podem impactar negativamente o trabalho na condução da politica monetária. Soma-se a isso o descaso com o fiscal pelo Governo. No cenário exterior a politica monetária mais dura deve ser o maior peso.,,73,auto
Q008-A74,Q008,RISCO EUA,,74,auto
Q008-A75,Q008,Juros Americanos,,75,auto
Q008-A76,Q008,nenhum,,76,auto
Q008-A77,Q008,Perda de confiança nesse governo,,77,auto
Q008-A78,Q008,Guerra,,78,auto
Q008-A79,Q008,Política monetária e fiscal,,79,auto
Q008-A80,Q008,"pelo menos 3 cenários acima, teria que ter mais opções simultaneas.",,80,auto
Q008-A81,Q008,"Acredito que um misto de fiscal, inflação e atividade econômica.",,81,auto
Q008-A82,Q008,Presidente Lula,,82,auto
Q008-A83,Q008,"Riscos ficais no Brasil, Inflação em alta no Brasil e Juros mais altos no Brasil",,83,auto
Q008-A84,Q008,todas as anteriores. Será marcada por alta volatilidade e com prêmio de risco baixo.,,84,auto
Q008-A85,Q008,"Risco Fiscal, Juros mais altos e Inflação",,85,auto
Q008-A86,Q008,Atravidade devido aos juros altos. Para alocar em bolsa tem que ter um prêmio e hoje o prêmio é baixo.,,86,auto
Q008-A87,Q008,risco politico,,87,auto
Q008-A88,Q008,Juros altos e instabilidade econômica e fiscal,,88,auto
Q008-A89,Q008,Atual Presidente,,89,auto
Q008-A90,Q008,Os traders.,,90,auto
Q008-A91,Q008,Trump,,91,auto
Q008-A92,Q008,Reeleição do atual presidente,,92,auto
Q008-A93,Q008,Dependência de fluxo estrangeiro.,,93,auto
Q008-A94,Q008,Juros Americano não cair,,94,auto
Q008-A95,Q008,Releição do lula,,95,auto
Q008-A96,Q008,reeleição do governo atual,,96,auto
Q008-A97,Q008,Volatilidade diante de um ano eleitoral para presidente da república,,97,auto
Q008-A98,Q008,Caso Master - Muitos figurões envolvidos,,98,auto
Q008-A99,Q008,Eleição,,99,auto
Q008-A100,Q008,Inflação alta nos EUA,,100,auto
Q008-A101,Q008,Eleições presidenciais 2026,,101,auto
Q008-A102,Q008,Fuga de capital estrangeiro,,102,auto
Q008-A103,Q008,atual governo,,103,auto
Q008-A104,Q008,Fluxo estrangeiro em saida,,104,auto
Q008-A105,Q008,SAIDA DOS INVESTIDORES ESTRANGEIROSS,,105,auto
Q009-A15,Q009,Não estão interessados,,15,auto
Q015-A07,Q015,semestralmente,,7,auto
Q015-A08,Q015,Depende do cliente,,8,auto
Q015-A09,Q015,bimestralmente,,9,auto
Q015-A10,Q015,semestral,,10,auto
Q015-A11,Q015,Depende do net.,,11,auto
Q015-A12,Q015,Alguns bimestral,,12,auto
Q015-A13,Q015,Depende do volume investido.,,13,auto
Q015-A14,Q015,Depende de cada cliente.,,14,auto
Q015-A15,Q015,"Depende do cliente, e a necessidade de cada um deles.",,15,auto
Q015-A16,Q015,Base de clientes muito baixa.,,16,auto
Q015-A17,Q015,Bimestralmente em média,,17,auto
Q015-A18,Q015,Depende do Patrimônio. Na escala Trimestral para Anual,,18,auto
Q016-A08,Q016,Redução em riscos de política fiscal no Brasil,,8,auto
Q016-A09,Q016,Cortes de juros no Brasil,,9,auto
Q016-A10,Q016,Redução em ruídos políticos no Brasil,,10,auto
Q016-A11,Q016,Corte de juros nos EUA,,11,auto
Q016-A12,Q016,Cortes de juros mais agressivos no Brasil,,12,auto
Q016-A13,Q016,Mudança de rumo na política econômica,,13,auto
Q016-A14,Q016,Melhora na recuperação econômica da China,,14,auto
Q016-A15,Q016,Cenário de desaceleração econômica nos EUA sem recessão,,15,auto
Q016-A16,Q016,Corte de juros mais agressivo nos EUA,,16,auto
Q016-A17,Q016,Queda de juros nos EUA e mundo,,17,auto
Q016-A18,Q016,Mudança de Governo,,18,auto
Q016-A19,Q016,troca de governo,,19,auto
Q016-A20,Q016,Troca de Presidente,,20,auto
Q016-A21,Q016,Nenhum,,21,auto
Q016-A22,Q016,Queda do Lula,,22,auto
Q016-A23,Q016,Educação Financeira,,23,auto
Q016-A24,Q016,fiscal,,24,auto
Q016-A25,Q016,Terceira guerra mundial,,25,auto
Q016-A26,Q016,Bolsonaro,,26,auto
Q016-A27,Q016,queda Taxa Selic,,27,auto
Q016-A28,Q016,Queda do atual Presidente,,28,auto
Q016-A29,Q016,troca do governo federal,,29,auto
Q016-A30,Q016,Troca do presidente.,,30,auto
Q016-A31,Q016,Ausência de interferência pelo Governo em Estatais (empresas de economia mista),,31,auto
Q016-A32,Q016,Mudanças nas atitudes do Governo,,32,auto
Q016-A33,Q016,nao querem saber de bolsa brasileira,,33,auto
Q016-A34,Q016,acordo de paz,,34,auto
Q016-A35,Q016,"Redução de ruídos de conflitos entre países no oriente médio, russia, china e EUA",,35,auto
Q016-A36,Q016,Aumento expressivo do capital estrangeiro na B3,,36,auto
Q016-A37,Q016,Preço/Lucro muito a baixo,,37,auto
Q016-A38,Q016,posse do Alckmin,,38,auto
Q016-A39,Q016,Acredito que redução dos juros e redução do risco fiscal.,,39,auto
Q016-A40,Q016,Troca do atual Presidente do Brasil,,40,auto
Q016-A41,Q016,ações muito baratas,,41,auto
Q016-A42,Q016,RISCO POLITICO,,42,auto
Q016-A43,Q016,Mudança do governo,,43,auto
Q016-A44,Q016,Expectativa de candidatos a eleição em 2026,,44,auto
Q016-A45,Q016,Saida do lula do poder,,45,auto
Q016-A46,Q016,"O sentimento é claro: As ações são boas, mas o governo não ajuda",,46,auto
Q016-A47,Q016,Troca do Presidente,,47,auto
Q016-A48,Q016,Eleições,,48,auto
Q016-A49,Q016,mudança de rumo na política econômica EUA,,49,auto
Q016-A50,Q016,Sinalização de mudança de governo,,50,auto
Q016-A51,Q016,"Melhor custo beneficio em relação a rentabilidade. Renda fixa, baixo risco ganhando 15%, qual o prêmio em RV ?",,51,auto
Q016-A52,Q016,vitória de um candidato de direita,,52,auto
Q016-A53,Q016,eleiçao 2026,,53,auto
Q016-A54,Q016,Expectativa da alternância de poder no Brasil,,54,auto
Q016-A55,Q016,Os preços caírem mais,,55,auto
Q016-A56,Q016,Entrada de recursos estrangeiros em nossa bolsa.,,56,auto
Q016-A57,Q016,Queda do governo Lula.,,57,auto
Q016-A58,Q016,Mudança política,,58,auto
Q016-A59,Q016,Derrota do Lula (vagabundo),,59,auto
Q016-A60,Q016,sinalização de vitória da direita em 2026,,60,auto
Q016-A61,Q016,Ter fee fixo para clientes menores de 300k,,61,auto
Q016-A62,Q016,"Meus clientes não se guiam pelo imediato, mas pelo longo prazo. No longo prazo, notícias e fatos específicos não fazem diferença.",,62,auto
Q016-A63,Q016,continuação do atual governo,,63,auto
Q016-A64,Q016,Mudança total do governo,,64,auto
Q016-A65,Q016,Mudar governo e CORTAR GASTOS,,65,auto
Q016-A66,Q016,Direita assumindo o BRasil,,66,auto
Q016-A67,Q016,Mudança na Política Fiscal,,67,auto
Q016-A68,Q016,Fiscal e crescimento sustentável,,68,auto
Q016-A69,Q016,eleiçoes,,69,auto
Q016-A70,Q016,Alternância do partido no governo,,70,auto
Q016-A71,Q016,Mudança no espectro politico brasileiro,,71,auto
Q016-A72,Q016,Estabilidade e previsibilidade juridica e ecônomica,,72,auto
Q016-A73,Q016,Eleição de um Fiscalista.,,73,auto
Q016-A74,Q016,redução das incertezas na geopolítica internacional,,74,auto
Q016-A75,Q016,Eleição de um governo fiscalista,,75,auto
Q016-A76,Q016,eleição da direita,,76,auto
Q016-A77,Q016,Mudança política.,,77,auto
Q016-A78,Q016,PT perder a eleição,,78,auto
Q016-A79,Q016,Riscos geopolíticos,,79,auto
Q016-A80,Q016,Lula morrer,,80,auto
Q016-A81,Q016,"Fim da guerra, estabilização preço petróleo",,81,auto
